Epoch	Train Loss	Val Loss	Test Loss	Train Acc	Val Acc	Test Acc	Test F1	Test AUCROC	Params LT (µs)	Epoch Time (s)	Learning Rate	Early Stopping
1	0.610241	0.572479	0.573776	0.736203	0.722449	0.722157	0.737107	0.763804	3899.252876	1875.84	0.00100000	False
2	0.549005	0.474974	0.470571	0.774913	0.830430	0.834147	0.834238	0.846100	3918.512799	1873.03	0.00100000	False
3	0.464598	0.493025	0.479905	0.824875	0.739905	0.749599	0.766452	0.867190	3861.029944	1869.14	0.00100000	False
4	0.427014	0.406180	0.401377	0.845295	0.835824	0.840743	0.845898	0.892981	3863.074947	1869.50	0.00100000	False
5	0.406582	0.388786	0.380400	0.853448	0.869862	0.875510	0.875774	0.899338	3869.853853	1876.95	0.00100000	False
6	0.398076	0.382049	0.375872	0.857766	0.853717	0.859439	0.862354	0.903128	3861.172185	1869.75	0.00100000	False
7	0.390202	0.398723	0.392388	0.860648	0.861224	0.863557	0.864348	0.896549	3854.952767	3013.95	0.00100000	False
8	0.384942	0.381022	0.374230	0.864139	0.837536	0.840197	0.846264	0.907444	3858.868289	2592.05	0.00100000	False
9	0.379452	0.372842	0.364276	0.866185	0.878863	0.884220	0.883469	0.909803	3850.925057	1876.91	0.00100000	False
10	0.375628	0.384132	0.371019	0.868067	0.846902	0.854155	0.858470	0.906395	3951.590108	1877.21	0.00100000	False
11	0.370473	0.376682	0.362919	0.870019	0.864978	0.872085	0.873652	0.908091	3923.935238	1875.71	0.00100000	False
12	0.364316	0.355559	0.350479	0.872713	0.878134	0.877988	0.879152	0.916051	3894.432830	1870.34	0.00100000	False
13	0.359253	0.353711	0.346865	0.875540	0.897085	0.900984	0.899055	0.920078	3816.339802	1872.20	0.00100000	False
14	0.353395	0.352853	0.344777	0.878031	0.896647	0.900474	0.898718	0.921052	3870.686833	1865.44	0.00100000	False
15	0.349827	0.358657	0.348620	0.880483	0.884913	0.889504	0.888961	0.917648	3818.015847	1864.69	0.00100000	False
16	0.342782	0.342816	0.332646	0.883747	0.878717	0.883127	0.884850	0.923757	3855.208103	1863.92	0.00100000	False
17	0.338606	0.342132	0.331309	0.883419	0.898032	0.902405	0.901152	0.926505	3862.826000	1864.19	0.00100000	False
18	0.334767	0.333576	0.322779	0.886113	0.864832	0.868513	0.872559	0.931122	3870.792496	1864.90	0.00100000	False
19	0.331577	0.376100	0.366173	0.887410	0.818768	0.826276	0.835467	0.923774	3866.866003	1864.26	0.00100000	False
20	0.327119	0.376971	0.367550	0.889307	0.842675	0.847595	0.853473	0.919326	3813.236500	1863.48	0.00100000	False
21	0.324777	0.334775	0.323030	0.889674	0.863265	0.868586	0.872783	0.933458	3833.779371	1861.27	0.00100000	False
22	0.308757	0.319600	0.307561	0.896046	0.872485	0.878098	0.881249	0.936908	3810.630222	1859.48	0.00050000	True
